product_category_name_english,Cluster_Name,order_count,total_revenue,avg_price,customer_count
fashion_sport,High Monetary Per Order & Total Spent Products Customers,25,2034.6200000000001,72.665,25
fashion_sport,High Total Spent Products & Monetary Per Order Customers,2,84.89,42.445,2
fashion_underwear_beach,High Monetary Per Order & Total Spent Products Customers,117,9963.46,71.16757142857142,117
fashion_underwear_beach,High Total Spent Products & Monetary Per Order Customers,4,366.79,91.6975,4
fixed_telephony,High Monetary Per Order & Total Spent Products Customers,208,60836.6,232.20076335877863,208
fixed_telephony,High Total Spent Products & Monetary Per Order Customers,9,864.66,96.07333333333332,9
flowers,High Monetary Per Order & Total Spent Products Customers,29,1110.04,33.63757575757575,29
food,High Monetary Per Order & Total Spent Products Customers,433,28360.66,57.063702213279676,430
food,High Total Spent Products & Monetary Per Order Customers,17,1758.78,60.64758620689655,15
food_drink,High Monetary Per Order & Total Spent Products Customers,218,15835.76,58.00644688644689,216
food_drink,High Total Spent Products & Monetary Per Order Customers,9,527.77,32.985625,9
furniture_bedroom,High Monetary Per Order & Total Spent Products Customers,92,21341.7,176.37768595041322,88
furniture_bedroom,High Total Spent Products & Monetary Per Order Customers,3,583.98,145.995,3
furniture_decor,High Monetary Per Order & Total Spent Products Customers,6207,738335.6900000001,87.85527010947169,6102
furniture_decor,High Total Spent Products & Monetary Per Order Customers,242,26758.2,78.70058823529412,215
furniture_living_room,High Monetary Per Order & Total Spent Products Customers,405,70800.62,139.92217391304348,399
furniture_living_room,High Total Spent Products & Monetary Per Order Customers,17,2258.13,102.64227272727273,16
furniture_mattress_and_upholstery,High Monetary Per Order & Total Spent Products Customers,37,4726.48,118.16199999999999,37
furniture_mattress_and_upholstery,High Total Spent Products & Monetary Per Order Customers,1,109.4,109.4,1
garden_tools,High Monetary Per Order & Total Spent Products Customers,3401,493434.96,112.24635122838944,3381
garden_tools,High Total Spent Products & Monetary Per Order Customers,117,24782.58,139.2279775280899,108
health_beauty,High Monetary Per Order & Total Spent Products Customers,8609,1268582.07,130.47228941684665,8490
health_beauty,High Total Spent Products & Monetary Per Order Customers,227,28908.7,114.71706349206349,188
home_appliances,High Monetary Per Order & Total Spent Products Customers,748,81050.11,105.25988311688312,689
home_appliances,High Total Spent Products & Monetary Per Order Customers,16,1240.41,68.91166666666668,14
home_appliances_2,High Monetary Per Order & Total Spent Products Customers,231,122439.31,462.03513207547167,226
home_appliances_2,High Total Spent Products & Monetary Per Order Customers,3,826.0,275.3333333333333,3
home_comfort_2,High Monetary Per Order & Total Spent Products Customers,24,773.17,24.940967741935484,23
